NamaPembeli,Kelamin,Menikah,Tanggungan,Pendidikan,Pekerjaan,PendapatanUtama,PemasukanTambahan,JenisProperti,NUP,BookingFee,BiayaRumahTanah,UangMuka,PeriodeCicilan,RiwayatPinjaman,PersetujuanPembelian
Pembeli 537,L,Ya,0,Sarjana,PNS,10jt s.d. <20jt,<1jt,Rumah,Tidak,Ya,214000000,88000000,18,2+,ya
Pembeli 538,L,Tidak,2,SMP,Wiraswasta,>30jt,5jt s.d. <10jt,Tanah,Tidak,Ya,139000000,46000000,18,2+,ya
Pembeli 539,L,Ya,0,Sarjana,PNS,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,141000000,46000000,18,2+,ya
Pembeli 540,L,Ya,3+,Pasca Sarjana,PNS,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Ya,Ya,147000000,16000000,12,1,tidak
Pembeli 541,P,Ya,1,SMA,Wiraswasta,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,111000000,36000000,12,1,ya
Pembeli 542,P,Tidak,0,Pasca Sarjana,Wiraswasta,>30jt,10jt s.d. <20jt,Tanah,Tidak,Ya,101000000,33000000,18,2+,ya
Pembeli 543,P,Tidak,1,SMA,POLRI-TNI,1jt s.d. <5jt,<1jt,Tanah,Ya,Ya,115000000,28000000,18,0,tidak
Pembeli 544,L,Ya,1,SD,Buruh Lepas,<1jt,0,Rumah,Tidak,Ya,230000000,80000000,18,1,tidak
Pembeli 545,P,Ya,0,SMA,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,127000000,33000000,18,2,ya
Pembeli 546,L,Ya,0,SMP,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,119000000,43000000,18,2+,tidak
Pembeli 547,L,Tidak,0,SD,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,145000000,12000000,18,2,tidak
Pembeli 548,L,Tidak,0,SMA,PNS,5jt s.d. <10jt,<1jt,Tanah,Tidak,Ya,135000000,40000000,18,0,ya
Pembeli 549,P,Tidak,0,SD,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,149000000,12000000,18,2+,tidak
Pembeli 550,L,Ya,0,Sarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,121000000,38000000,18,0,tidak
Pembeli 551,L,Ya,2,Sarjana,POLRI-TNI,1jt s.d. <5jt,<1jt,Tanah,Ya,Ya,101000000,31000000,18,2,tidak
Pembeli 552,L,Ya,1,SMA,Wiraswasta,20jt s.d. <30jt,10jt s.d. <20jt,Tanah,Ya,Ya,134000000,28000000,18,2+,ya
Pembeli 553,L,Ya,1,Sarjana,PNS,5jt s.d. <10jt,<1jt,Rumah,Ya,Ya,223000000,60000000,18,1,ya
Pembeli 554,L,Ya,0,SD,Buruh Lepas,<1jt,0,Rumah,Ya,Ya,245000000,100000000,18,0,tidak
Pembeli 555,L,Ya,0,SMP,Wiraswasta,20jt s.d. <30jt,5jt s.d. <10jt,Tanah,Tidak,Ya,101000000,45000000,12,2+,ya
Pembeli 556,L,Ya,1,SMP,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,145000000,27000000,18,2+,tidak
Pembeli 557,P,Tidak,0,SMP,Buruh Lepas,<1jt,0,Rumah,Tidak,Ya,215000000,54000000,18,1,tidak
Pembeli 558,L,Ya,3+,SMA,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,150000000,31000000,18,2,ya
Pembeli 559,L,Ya,0,Sarjana,POLRI-TNI,10jt s.d. <20jt,<1jt,Tanah,Ya,Ya,100000000,50000000,18,2,ya
Pembeli 560,P,Ya,0,Pasca Sarjana,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,111000000,26000000,18,2,ya
Pembeli 561,L,Ya,2,Pasca Sarjana,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,150000000,16000000,18,2,ya
Pembeli 562,P,Ya,1,Sarjana,POLRI-TNI,5jt s.d. <10jt,<1jt,Tanah,Ya,Ya,140000000,16000000,18,1,ya
Pembeli 563,L,Ya,0,SMA,Wiraswasta,>30jt,1jt s.d. <5jt,Tanah,Tidak,Ya,120000000,17000000,18,2,ya
Pembeli 564,L,Tidak,0,SMA,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,106000000,25000000,18,2,tidak
Pembeli 565,L,Ya,2,SMP,Wiraswasta,5jt s.d. <10jt,5jt s.d. <10jt,Rumah,Tidak,Ya,236000000,90000000,18,1,ya
Pembeli 566,L,Ya,0,SMA,PNS,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,106000000,25000000,18,0,ya
Pembeli 567,L,Tidak,0,Pasca Sarjana,Wiraswasta,>30jt,10jt s.d. <20jt,Rumah,Tidak,Ya,232000000,75000000,18,0,ya
Pembeli 568,L,Ya,3+,SMP,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,106000000,37000000,18,2+,ya
Pembeli 569,P,Tidak,0,Sarjana,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,213000000,84000000,18,2+,tidak
Pembeli 570,L,Ya,0,Pasca Sarjana,Pegawai Swasta,5jt s.d. <10jt,<1jt,Rumah,Tidak,Ya,232000000,86000000,18,1,ya
Pembeli 571,L,Ya,1,SMA,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Rumah,Ya,Ya,233000000,54000000,18,1,ya
Pembeli 572,L,Ya,2,Pasca Sarjana,Wiraswasta,20jt s.d. <30jt,1jt s.d. <5jt,Rumah,Ya,Ya,225000000,69000000,18,0,ya
Pembeli 573,L,Ya,2,SMA,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,237000000,65000000,18,0,tidak
Pembeli 574,L,Ya,2,SMP,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,145000000,16000000,24,0,tidak
Pembeli 575,L,Ya,3+,Pasca Sarjana,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,149000000,50000000,18,2,ya
Pembeli 576,L,Ya,2,Pasca Sarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,204000000,95000000,12,0,tidak
Pembeli 577,,Ya,0,Pasca Sarjana,Wiraswasta,5jt s.d. <10jt,10jt s.d. <20jt,Tanah,Tidak,Ya,114000000,16000000,18,2+,ya
Pembeli 578,L,Tidak,0,Sarjana,Pegawai Swasta,1jt s.d. <5jt,<1jt,Rumah,Tidak,Ya,208000000,59000000,18,2,ya
Pembeli 579,L,Ya,1,Pasca Sarjana,Wiraswasta,10jt s.d. <20jt,10jt s.d. <20jt,Tanah,Ya,Ya,130000000,27000000,18,2,ya
Pembeli 580,L,Tidak,0,SMA,PNS,5jt s.d. <10jt,<1jt,Rumah,Tidak,Ya,203000000,76000000,18,2,ya
Pembeli 581,L,Ya,2,Sarjana,PNS,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,145000000,44000000,18,2,ya
Pembeli 582,L,Tidak,0,SD,Buruh Lepas,<1jt,0,Rumah,Ya,Ya,228000000,93000000,18,2,tidak
Pembeli 583,P,Ya,0,Sarjana,POLRI-TNI,10jt s.d. <20jt,<1jt,Tanah,Tidak,Ya,138000000,31000000,18,1,ya
Pembeli 584,L,Ya,1,SMA,POLRI-TNI,1jt s.d. <5jt,<1jt,Tanah,Ya,Ya,147000000,17000000,18,1,tidak
Pembeli 585,L,Ya,1,Sarjana,Pegawai Swasta,1jt s.d. <5jt,<1jt,Tanah,Ya,Ya,150000000,40000000,18,2+,tidak
Pembeli 586,L,Ya,1,Sarjana,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,142000000,47000000,12,0,tidak
Pembeli 587,L,Ya,0,SMA,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Rumah,Ya,Ya,207000000,58000000,18,2,ya
Pembeli 588,P,Tidak,0,Sarjana,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,118000000,27000000,18,2+,ya
Pembeli 589,P,Tidak,0,SMA,PNS,5jt s.d. <10jt,<1jt,Tanah,Tidak,Ya,102000000,43000000,18,2,ya
Pembeli 590,L,Ya,2,SD,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,134000000,14000000,18,2,tidak
Pembeli 591,L,Ya,0,Pasca Sarjana,Wiraswasta,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,116000000,13000000,12,2,ya
Pembeli 592,L,Ya,2,SMP,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,144000000,14000000,12,2,ya
Pembeli 593,P,Tidak,0,Sarjana,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,127000000,36000000,18,2+,ya
Pembeli 594,L,Ya,0,Sarjana,Wiraswasta,>30jt,1jt s.d. <5jt,Tanah,Tidak,Ya,129000000,48000000,12,1,ya
Pembeli 595,L,Ya,0,Pasca Sarjana,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Rumah,Tidak,Ya,181000000,73000000,18,1,ya
Pembeli 596,L,Tidak,0,SMA,POLRI-TNI,1jt s.d. <5jt,<1jt,Tanah,Ya,Ya,143000000,17000000,18,2+,tidak
Pembeli 597,L,Ya,2,SD,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,122000000,35000000,18,2+,tidak
Pembeli 598,L,Tidak,0,SMA,Pegawai Swasta,5jt s.d. <10jt,<1jt,Tanah,Ya,Ya,112000000,40000000,18,1,ya
Pembeli 599,L,Ya,0,Sarjana,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,127000000,21000000,18,2+,ya
Pembeli 600,L,Ya,2,Pasca Sarjana,PNS,5jt s.d. <10jt,<1jt,Rumah,Ya,Ya,224000000,72000000,18,1,ya
